2026-03-30 14:14:06 | INFO     | BlogApp | [Logger] Bootstrapped. Log file: logs\backend-log_20260330_141406.log
2026-03-30 14:14:12 | DEBUG    | BlogApp.Agent | [SETUP] Initialising LLM...
2026-03-30 14:14:12 | DEBUG    | BlogApp.Agent | [SETUP] LLM ready: model='llama3.2:3b'
2026-03-30 14:14:12 | INFO     | BlogApp.FastAPI | [STARTUP] Static site mounted: D:\Study\LangGraph\Workflow_26_BlogAgent\Backend\Blogs → /site
2026-03-30 14:14:13 | INFO     | BlogApp.FastAPI | [STARTUP] PostgreSQL tables ready.
2026-03-30 14:14:13 | INFO     | BlogApp.FastAPI | [STARTUP] LangGraph workflow compiled. Checkpointer DB: 'blog_hitl.db'
2026-03-30 14:14:43 | INFO     | BlogApp.FastAPI | [API] /blogs/generate — topic='Existence of all kind of Operating System over the world' thread_id='6b23c989-f7b9-4b0a-8971-3f2fe3a75602'
2026-03-30 14:14:43 | INFO     | BlogApp.FastAPI | [BG] Starting workflow thread='6b23c989-f7b9-4b0a-8971-3f2fe3a75602' topic='Existence of all kind of Operating System over the world'
2026-03-30 14:14:43 | INFO     | BlogApp.Agent | [ROUTER] ── Entering router node ──────────────────────────
2026-03-30 14:14:47 | INFO     | BlogApp.Agent | [ROUTER] Current date (IST): 2026-03-30 | Time: 14:14:46 | Year: 2026
2026-03-30 14:15:11 | INFO     | BlogApp.Agent | [ROUTER]   mode='open_book' | needs_research=True | queries=6
2026-03-30 14:15:11 | INFO     | BlogApp.Agent | [ROUTER] ── Router node complete ────────────────────────────
2026-03-30 14:15:11 | INFO     | BlogApp.Agent | [ROUTER] Routing → 'research'
2026-03-30 14:15:11 | INFO     | BlogApp.Agent | [RESEARCH] ── Entering research node (6 queries) ──
2026-03-30 14:15:11 | DEBUG    | BlogApp.Agent | [RESEARCH] Tavily search — query='Existence of various operating systems worldwide in 2026'
2026-03-30 14:15:11 | DEBUG    | BlogApp.Agent | [RESEARCH] Tavily search — query='Global distribution of different types of operating systems this year'
2026-03-30 14:15:11 | DEBUG    | BlogApp.Agent | [RESEARCH] Tavily search — query='Current state of OS adoption across countries and regions in 2026'
2026-03-30 14:15:11 | DEBUG    | BlogApp.Agent | [RESEARCH] Tavily search — query='Latest news on operating system usage patterns globally as of March 2026'
2026-03-30 14:15:11 | DEBUG    | BlogApp.Agent | [RESEARCH] Tavily search — query='Trends in operating system development and deployment around the world in 2026'
2026-03-30 14:15:11 | DEBUG    | BlogApp.Agent | [RESEARCH] Tavily search — query='2026: How many different types of operating systems are being used worldwide?'
2026-03-30 14:15:14 | INFO     | BlogApp.Agent | [RESEARCH] Total raw results: 36 (2.69s)
2026-03-30 14:18:57 | INFO     | BlogApp.Agent | [RESEARCH] Evidence after deduplication: 1 items
2026-03-30 14:18:57 | INFO     | BlogApp.Agent | [RESEARCH] ── Research node complete ───────────────────────────
2026-03-30 14:18:57 | INFO     | BlogApp.Agent | [ORCH] ── Entering orchestrator node ──────────────────────
2026-03-30 14:18:57 | INFO     | BlogApp.Agent | [ORCH] Current date (IST): 2026-03-30 | Time: 14:18:57 | Year: 2026
2026-03-30 14:18:57 | INFO     | BlogApp.Agent | [ORCH] Planning attempt 1/3...
2026-03-30 14:20:59 | INFO     | BlogApp.Agent | [ORCH] Plan accepted — 8 tasks | 'Operating System Landscape Around the World'
2026-03-30 14:20:59 | INFO     | BlogApp.Agent | [ORCH] ── Orchestrator node complete ─────────────────────────
